CO_CND,NO2_CND,Rain,Wind,Temperature,CO-Delhi1,CO-Delhi2,CO-Delhi3,CO-Delhi4,CO-Delhi5,NO2-Delhi1,NO2-Delhi2,NO2-Delhi3,NO2-Delhi4,NO2-Delhi5
0.0478411,0.000082431,4.29E-06,2.12016,292.65,0.0551677,0.0360976,0.0378252,0.0645436,0.0447301,9.72E-05,0.000120738,,0.000119114,0.000339959
0.0406538,0.000104874,4.28E-08,2.95469,292.216,0.0360976,0.0378252,0.0645436,0.0447301,0.0588019,0.000120738,,0.000119114,0.000339959,0.000175044
0.0391213,,0,1.71457,292.11,0.0378252,0.0645436,0.0447301,0.0588019,0.0526554,,0.000119114,0.000339959,0.000175044,0.000155478
0.0497454,9.99E-05,0,1.40883,292.258,0.0645436,0.0447301,0.0588019,0.0526554,0.0538275,0.000119114,0.000339959,0.000175044,0.000155478,0.000409894
0.0494902,9.32E-05,1.90E-09,1.22539,292.425,0.0447301,0.0588019,0.0526554,0.0538275,0.0479721,0.000339959,0.000175044,0.000155478,0.000409894,
0.044751,9.02E-05,3.01E-07,1.35502,292.933,0.0588019,0.0526554,0.0538275,0.0479721,0.0434961,0.000175044,0.000155478,0.000409894,,0.000307887
0.0591344,0.000110116,4.84E-06,1.77926,292.979,0.0526554,0.0538275,0.0479721,0.0434961,,0.000155478,0.000409894,,0.000307887,0.000192137
0.0459669,0.000102275,3.02E-05,1.54041,293.52,0.0538275,0.0479721,0.0434961,,0.0381315,0.000409894,,0.000307887,0.000192137,0.000127501
0.0486128,9.02E-05,0.002159303,1.8362,293.77,0.0479721,0.0434961,,0.0381315,0.0405141,,0.000307887,0.000192137,0.000127501,0.000172052
0.050264,0.000089974,0.003235209,2.33598,292.845,0.0434961,,0.0381315,0.0405141,0.044303,0.000307887,0.000192137,0.000127501,0.000172052,0.000260497
0.0434958,9.69E-05,5.01E-06,2.49815,291.591,,0.0381315,0.0405141,0.044303,,0.000192137,0.000127501,0.000172052,0.000260497,0.000159412
0.0376977,0.000103154,1.90E-09,2.96173,291.382,0.0381315,0.0405141,0.044303,,0.0460716,0.000127501,0.000172052,0.000260497,0.000159412,0.000291354
0.0406609,0.000107521,0.000000041,1.72468,291.227,0.0405141,0.044303,,0.0460716,0.0422879,0.000172052,0.000260497,0.000159412,0.000291354,0.000129451
0.0402572,0.000106048,1.53E-05,2.28381,292.789,0.044303,,0.0460716,0.0422879,0.0440188,0.000260497,0.000159412,0.000291354,0.000129451,0.000250024
0.0414565,0.00010498,8.17E-06,2.75393,293.417,,0.0460716,0.0422879,0.0440188,0.0356037,0.000159412,0.000291354,0.000129451,0.000250024,0.00012227
0.0425684,0.000101475,0,2.16243,292.678,0.0460716,0.0422879,0.0440188,0.0356037,0.0334542,0.000291354,0.000129451,0.000250024,0.00012227,0.000125245
0.0359546,9.34E-05,0,1.97621,291.784,0.0422879,0.0440188,0.0356037,0.0334542,0.0375641,0.000129451,0.000250024,0.00012227,0.000125245,0.000209821
0.0403987,0.000105853,1.90E-09,1.47681,291.492,0.0440188,0.0356037,0.0334542,0.0375641,0.0375166,0.000250024,0.00012227,0.000125245,0.000209821,0.00030119
0.0341821,9.12E-05,4.47E-08,3.15517,291.673,0.0356037,0.0334542,0.0375641,0.0375166,0.0493013,0.00012227,0.000125245,0.000209821,0.00030119,0.000203181
0.0318938,9.39E-05,4.28E-08,2.84138,291.218,0.0334542,0.0375641,0.0375166,0.0493013,0.0571119,0.000125245,0.000209821,0.00030119,0.000203181,0.000506096
0.0343233,0.000107274,0,1.44647,291.507,0.0375641,0.0375166,0.0493013,0.0571119,0.0477182,0.000209821,0.00030119,0.000203181,0.000506096,0.000184044
0.0351636,0.000105205,1.90E-09,1.41276,291.525,0.0375166,0.0493013,0.0571119,0.0477182,0.0706637,0.00030119,0.000203181,0.000506096,0.000184044,0.000178245
0.0433384,0.0001196,0.000003937,1.89724,291.87,0.0493013,0.0571119,0.0477182,0.0706637,0.0641185,0.000203181,0.000506096,0.000184044,0.000178245,0.000199949
0.0425985,0.000105198,8.22E-08,1.44858,291.721,0.0571119,0.0477182,0.0706637,0.0641185,,0.000506096,0.000184044,0.000178245,0.000199949,0.000123411
0.0421712,9.65E-05,0,2.04337,290.726,0.0477182,0.0706637,0.0641185,,0.0467105,0.000184044,0.000178245,0.000199949,0.000123411,0.000105454
0.0523742,0.00011849,0.0005498,1.92755,296.828,0.0706637,0.0641185,,0.0467105,0.0415569,0.000178245,0.000199949,0.000123411,0.000105454,1.17E-04
0.0681694,0.000106828,0.000549957,1.82549,295.516,0.0641185,,0.0467105,0.0415569,0.0405934,0.000199949,0.000123411,0.000105454,1.17E-04,0.000172067
0.0576515,9.29E-05,0.001045472,1.93124,295.729,,0.0467105,0.0415569,0.0405934,0.0345365,0.000123411,0.000105454,1.17E-04,0.000172067,0.000168576
0.0497014,9.74E-05,1.10E-05,2.45858,295.993,0.0467105,0.0415569,0.0405934,0.0345365,0.0481519,0.000105454,1.17E-04,0.000172067,0.000168576,0.000195972
0.0432624,0.000101908,7.80E-09,2.40814,295.841,0.0415569,0.0405934,0.0345365,0.0481519,0.0368748,1.17E-04,0.000172067,0.000168576,0.000195972,0.000122448
0.0419888,0.000090544,0.00222294,3.05344,296.622,0.0405934,0.0345365,0.0481519,0.0368748,0.0430701,0.000172067,0.000168576,0.000195972,0.000122448,0.000115931
0.033645,8.08E-05,0.01471367,3.89823,292.69,0.0345365,0.0481519,0.0368748,0.0430701,0.0469,0.000168576,0.000195972,0.000122448,0.000115931,0.00013022
0.0357928,7.93E-05,0.000444631,2.58294,293.445,0.0481519,0.0368748,0.0430701,0.0469,0.0497932,0.000195972,0.000122448,0.000115931,0.00013022,0.000121278
0.0372538,9.75E-05,1.31E-07,2.48008,293.172,0.0368748,0.0430701,0.0469,0.0497932,0.0544477,0.000122448,0.000115931,0.00013022,0.000121278,0.000281951
0.0406073,0.000105266,0,1.81558,292.317,0.0430701,0.0469,0.0497932,0.0544477,,0.000115931,0.00013022,0.000121278,0.000281951,
0.045894,0.000107786,0,1.4108,291.725,0.0469,0.0497932,0.0544477,,,0.00013022,0.000121278,0.000281951,,0.000138083
0.0478615,0.000108253,1.12E-06,1.73017,291.927,0.0497932,0.0544477,,,0.0380893,0.000121278,0.000281951,,0.000138083,0.000119437
0.0563689,9.84E-05,0.000002218,1.89665,292.74,0.0544477,,,0.0380893,0.0319056,0.000281951,,0.000138083,0.000119437,9.93E-05
,0.000131411,0.000678614,2.21468,293.006,,,0.0380893,0.0319056,0.0390849,,0.000138083,0.000119437,9.93E-05,0.000135412
0.0436287,9.16E-05,0.000263349,2.49682,294.113,,0.0380893,0.0319056,0.0390849,0.040505,0.000138083,0.000119437,9.93E-05,0.000135412,0.00012781
